sample,x,y,z
0,0.12414966,-0.058122744,0.948170732
1,0.12414966,-0.058122744,0.948170732
2,0.12414966,-0.058122744,0.948170732
3,0.12414966,-0.058122744,0.948170732
4,0.12414966,-0.058122744,0.948170732
5,0.12414966,-0.058122744,0.948170732
6,0.12414966,-0.058122744,0.948170732
7,0.12414966,-0.058122744,0.948170732
8,0.287698413,-0.16534296,0.865514905
9,0.287698413,-0.16534296,0.865514905
10,0.287698413,-0.16534296,0.865514905
11,0.287698413,-0.16534296,0.865514905
12,0.287698413,-0.16534296,0.865514905
13,0.287698413,-0.16534296,0.865514905
14,0.287698413,-0.16534296,0.865514905
15,0.287698413,-0.16534296,0.865514905
16,0.287698413,-0.16534296,0.865514905
17,0.629251701,-0.529241877,0.303861789
18,0.629251701,-0.529241877,0.303861789
19,0.629251701,-0.529241877,0.303861789
20,0.629251701,-0.529241877,0.303861789
21,0.629251701,-0.529241877,0.303861789
22,0.629251701,-0.529241877,0.303861789
23,0.629251701,-0.529241877,0.303861789
24,0.629251701,-0.529241877,0.303861789
25,0.629251701,-0.529241877,0.303861789
26,0.412414966,-0.719133574,-0.055555556
27,0.412414966,-0.719133574,-0.055555556
28,0.412414966,-0.719133574,-0.055555556
29,0.412414966,-0.719133574,-0.055555556
30,0.412414966,-0.719133574,-0.055555556
31,0.412414966,-0.719133574,-0.055555556
32,0.412414966,-0.719133574,-0.055555556
33,0.412414966,-0.719133574,-0.055555556
34,0.052154195,-0.559927798,-0.741869919
35,0.052154195,-0.559927798,-0.741869919
36,0.052154195,-0.559927798,-0.741869919
37,0.052154195,-0.559927798,-0.741869919
38,0.052154195,-0.559927798,-0.741869919
39,0.052154195,-0.559927798,-0.741869919
40,0.052154195,-0.559927798,-0.741869919
41,0.052154195,-0.559927798,-0.741869919
42,0.052154195,-0.559927798,-0.741869919
43,-0.725907029,-0.102166065,-0.719850949
44,-0.725907029,-0.102166065,-0.719850949
45,-0.725907029,-0.102166065,-0.719850949
46,-0.725907029,-0.102166065,-0.719850949
47,-0.725907029,-0.102166065,-0.719850949
48,-0.725907029,-0.102166065,-0.719850949
49,-0.725907029,-0.102166065,-0.719850949
50,-0.725907029,-0.102166065,-0.719850949
51,-0.725907029,-0.102166065,-0.719850949
52,-0.70861678,0.690613718,0.04200542
53,-0.70861678,0.690613718,0.04200542
54,-0.70861678,0.690613718,0.04200542
55,-0.70861678,0.690613718,0.04200542
56,-0.70861678,0.690613718,0.04200542
57,-0.70861678,0.690613718,0.04200542
58,-0.70861678,0.690613718,0.04200542
59,-0.70861678,0.690613718,0.04200542
60,0.007369615,0.370758123,0.917682927
61,0.007369615,0.370758123,0.917682927
62,0.007369615,0.370758123,0.917682927
63,0.007369615,0.370758123,0.917682927
64,0.007369615,0.370758123,0.917682927
65,0.007369615,0.370758123,0.917682927
66,0.007369615,0.370758123,0.917682927
67,0.007369615,0.370758123,0.917682927
68,0.007369615,0.370758123,0.917682927
69,0.060090703,-0.529963899,0.70901084
70,0.060090703,-0.529963899,0.70901084
71,0.060090703,-0.529963899,0.70901084
72,0.060090703,-0.529963899,0.70901084
73,0.060090703,-0.529963899,0.70901084
74,0.060090703,-0.529963899,0.70901084
75,0.060090703,-0.529963899,0.70901084
76,0.060090703,-0.529963899,0.70901084
77,0.060090703,-0.529963899,0.70901084
78,0.249716553,-0.471841155,0.690718157
79,0.249716553,-0.471841155,0.690718157
80,0.249716553,-0.471841155,0.690718157
81,0.249716553,-0.471841155,0.690718157
82,0.249716553,-0.471841155,0.690718157
83,0.249716553,-0.471841155,0.690718157
84,0.249716553,-0.471841155,0.690718157
85,0.249716553,-0.471841155,0.690718157
86,0.249716553,-0.471841155,0.690718157
87,0.608276644,0.154151625,0.673780488
88,0.608276644,0.154151625,0.673780488
89,0.608276644,0.154151625,0.673780488
90,0.608276644,0.154151625,0.673780488
91,0.608276644,0.154151625,0.673780488
92,0.608276644,0.154151625,0.673780488
93,0.608276644,0.154151625,0.673780488
94,0.608276644,0.154151625,0.673780488
95,0.608276644,0.77400722,0.189701897
96,0.505668934,0.77400722,0.189701897
97,0.505668934,0.77400722,0.189701897
98,0.505668934,0.77400722,0.189701897
99,0.505668934,0.77400722,0.189701897
100,0.505668934,0.77400722,0.189701897
101,0.505668934,0.77400722,0.189701897
102,0.505668934,0.77400722,0.189701897
103,0.505668934,0.77400722,0.189701897
104,0.517857143,0.576534296,-0.35399729
105,0.517857143,0.576534296,-0.35399729
106,0.517857143,0.576534296,-0.35399729
107,0.517857143,0.576534296,-0.35399729
108,0.517857143,0.576534296,-0.35399729
109,0.517857143,0.576534296,-0.35399729
110,0.517857143,0.576534296,-0.35399729
111,0.517857143,0.576534296,-0.35399729
112,0.517857143,0.576534296,-0.35399729
113,0.725056689,0.10866426,-0.210704607
114,0.725056689,0.10866426,-0.210704607
115,0.725056689,0.10866426,-0.210704607
116,0.725056689,0.10866426,-0.210704607
117,0.725056689,0.10866426,-0.210704607
118,0.725056689,0.10866426,-0.210704607
119,0.725056689,0.10866426,-0.210704607
120,0.725056689,0.10866426,-0.210704607
121,0.725056689,0.10866426,-0.210704607
122,0.807823129,-0.171480144,0.286585366
123,0.807823129,-0.171480144,0.286585366
124,0.807823129,-0.171480144,0.286585366
125,0.807823129,-0.171480144,0.286585366
126,0.807823129,-0.171480144,0.286585366
127,0.807823129,-0.171480144,0.286585366
128,0.807823129,-0.171480144,0.286585366
129,0.807823129,-0.171480144,0.286585366
130,0.481575964,0.113718412,0.893292683
131,0.481575964,0.113718412,0.893292683
132,0.481575964,0.113718412,0.893292683
133,0.481575964,0.113718412,0.893292683
134,0.481575964,0.113718412,0.893292683
135,0.481575964,0.113718412,0.893292683
136,0.481575964,0.113718412,0.893292683
137,0.481575964,0.113718412,0.893292683
138,0.481575964,0.113718412,0.893292683
139,0.109410431,0.068953069,0.973915989
140,0.109410431,0.068953069,0.973915989
141,0.109410431,0.068953069,0.973915989
142,0.109410431,0.068953069,0.973915989
143,0.109410431,0.068953069,0.973915989
144,0.109410431,0.068953069,0.973915989
145,0.109410431,0.068953069,0.973915989
146,0.109410431,0.068953069,0.973915989
147,0.109410431,0.068953069,0.973915989
148,0.091836735,0.050541516,1
149,0.091836735,0.050541516,1
150,0.091836735,0.050541516,1
151,0.091836735,0.050541516,1
152,0.091836735,0.050541516,1
153,0.091836735,0.050541516,1
154,0.091836735,0.050541516,1
155,0.091836735,0.050541516,1
156,0.091836735,0.050541516,1
157,0.259920635,0.746209386,0.698848238
158,0.259920635,0.746209386,0.698848238
159,0.259920635,0.746209386,0.698848238
160,0.259920635,0.746209386,0.698848238
161,0.259920635,0.746209386,0.698848238
162,0.259920635,0.746209386,0.698848238
163,0.259920635,0.746209386,0.698848238
164,0.259920635,0.746209386,0.698848238
165,-0.56377551,0.718050542,0.134146341
166,-0.56377551,0.718050542,0.134146341
167,-0.56377551,0.718050542,0.134146341
168,-0.56377551,0.718050542,0.134146341
169,-0.56377551,0.718050542,0.134146341
170,-0.56377551,0.718050542,0.134146341
171,-0.56377551,0.718050542,0.134146341
172,-0.56377551,0.718050542,0.134146341
173,-0.56377551,0.718050542,0.134146341
174,-0.967687075,-0.24801444,-0.217818428
175,-0.967687075,-0.24801444,-0.217818428
176,-0.967687075,-0.24801444,-0.217818428
177,-0.967687075,-0.24801444,-0.217818428
178,-0.967687075,-0.24801444,-0.217818428
179,-0.967687075,-0.24801444,-0.217818428
180,-0.967687075,-0.24801444,-0.217818428
181,-0.967687075,-0.24801444,-0.217818428
182,-0.967687075,-0.24801444,-0.217818428
183,-0.760770975,-0.774368231,-0.14498645
184,-0.760770975,-0.774368231,-0.14498645
185,-0.760770975,-0.774368231,-0.14498645
186,-0.760770975,-0.774368231,-0.14498645
187,-0.760770975,-0.774368231,-0.14498645
188,-0.760770975,-0.774368231,-0.14498645
189,-0.760770975,-0.774368231,-0.14498645
190,-0.760770975,-0.774368231,-0.14498645
191,-0.182539683,-0.989530686,0.077913279
192,-0.182539683,-0.989530686,0.077913279
193,-0.182539683,-0.989530686,0.077913279
194,-0.182539683,-0.989530686,0.077913279
195,-0.182539683,-0.989530686,0.077913279
196,-0.182539683,-0.989530686,0.077913279
197,-0.182539683,-0.989530686,0.077913279
198,-0.182539683,-0.989530686,0.077913279
199,-0.182539683,-0.989530686,0.077913279
200,0.346938776,-0.792779783,0.441056911
201,0.346938776,-0.792779783,0.441056911
202,0.346938776,-0.792779783,0.441056911
203,0.346938776,-0.792779783,0.441056911
204,0.346938776,-0.792779783,0.441056911
205,0.346938776,-0.792779783,0.441056911
206,0.346938776,-0.792779783,0.441056911
207,0.346938776,-0.792779783,0.441056911
208,0.346938776,-0.792779783,0.441056911
209,0.627267574,-0.239711191,0.677168022
210,0.627267574,-0.239711191,0.677168022
211,0.627267574,-0.239711191,0.677168022
212,0.627267574,-0.239711191,0.677168022
213,0.627267574,-0.239711191,0.677168022
214,0.627267574,-0.239711191,0.677168022
215,0.627267574,-0.239711191,0.677168022
216,0.627267574,-0.239711191,0.677168022
217,0.627267574,-0.239711191,0.677168022
218,0.581632653,0.233212996,0.802845528
219,0.581632653,0.233212996,0.802845528
220,0.581632653,0.233212996,0.802845528
221,0.581632653,0.233212996,0.802845528
222,0.581632653,0.233212996,0.802845528
223,0.581632653,0.233212996,0.802845528
224,0.581632653,0.233212996,0.802845528
225,0.581632653,0.233212996,0.802845528
226,0.41638322,0.550541516,0.78895664
227,0.41638322,0.550541516,0.78895664
228,0.41638322,0.550541516,0.78895664
229,0.41638322,0.550541516,0.78895664
230,0.41638322,0.550541516,0.78895664
231,0.41638322,0.550541516,0.78895664
232,0.41638322,0.550541516,0.78895664
233,0.41638322,0.550541516,0.78895664
234,0.41638322,0.550541516,0.78895664
235,0.334183673,0.61732852,0.76897019
236,0.334183673,0.61732852,0.76897019
237,0.334183673,0.61732852,0.76897019
238,0.334183673,0.61732852,0.76897019
239,0.334183673,0.61732852,0.76897019
240,0.334183673,0.61732852,0.76897019
241,0.334183673,0.61732852,0.76897019
242,0.334183673,0.61732852,0.76897019
243,0.334183673,0.61732852,0.76897019
244,0.420351474,0.846209386,0.301490515
245,0.420351474,0.846209386,0.301490515
246,0.420351474,0.846209386,0.301490515
247,0.420351474,0.846209386,0.301490515
248,0.420351474,0.846209386,0.301490515
249,0.420351474,0.846209386,0.301490515
250,0.420351474,0.846209386,0.301490515
251,0.420351474,0.846209386,0.301490515
252,0.035714286,0.773646209,-0.506436314
253,0.035714286,0.773646209,-0.506436314
254,0.035714286,0.773646209,-0.506436314
255,0.035714286,0.773646209,-0.506436314
256,0.035714286,0.773646209,-0.506436314
257,0.035714286,0.773646209,-0.506436314
258,0.035714286,0.773646209,-0.506436314
259,0.035714286,0.773646209,-0.506436314
260,0.035714286,0.773646209,-0.506436314
261,-0.466553288,-0.01732852,-0.83401084
262,-0.466553288,-0.01732852,-0.83401084
263,-0.466553288,-0.01732852,-0.83401084
264,-0.466553288,-0.01732852,-0.83401084
265,-0.466553288,-0.01732852,-0.83401084
266,-0.466553288,-0.01732852,-0.83401084
267,-0.466553288,-0.01732852,-0.83401084
268,-0.466553288,-0.01732852,-0.83401084
269,-0.466553288,-0.01732852,-0.83401084
270,-0.218537415,-0.510830325,-0.826558266
271,-0.218537415,-0.510830325,-0.826558266
