distance,sample,m
120,1,1.67
120,2,3.22
120,3,3.22
120,4,2.38
120,5,2.38
120,6,1.36
120,7,1.36
120,8,1.36
120,9,1.36
120,10,0.93
120,11,0.93
120,12,1.34
120,13,1.51
120,14,0.96
120,15,1.72
120,16,1.72
120,17,1.79
120,18,1.79
120,19,2.33
120,20,2.33
120,21,0.87
120,22,0.87
120,23,1.61
120,24,1.61
120,25,2.02
120,26,2.02
120,27,1.65
120,28,1.65
120,29,1.96
120,30,1.96
120,31,2.31
120,32,2.4
120,33,2.4
120,34,1.21
120,35,1.21
120,36,0.6
120,37,0.6
120,38,1.05
120,39,1.05
120,40,2.72
120,41,2.72
120,42,1
120,43,1
120,44,1.94
120,45,1.94
120,46,3.24
120,47,3.24
120,48,2.95
120,49,2.76
120,50,2.76
120,51,2.5
120,52,2.5
120,53,1.23
120,54,1.23
120,55,1.77
120,56,1.77
120,57,2.1
120,58,2.1
120,59,0.85
120,60,0.85
120,61,1.32
120,62,1.32
120,63,2.01
120,64,0.42
120,65,0.42
120,66,2.04
120,67,2.04
120,68,1.01
120,69,1.01
120,70,1.49
120,71,1.49
120,72,1.09
120,73,1.09
120,74,1.97
120,75,1.97
110,1,1.85
110,2,0.67
110,3,0.67
110,4,2.88
110,5,2.88
110,6,1.6
110,7,1.6
110,8,2.65
110,9,2.65
110,10,0.96
110,11,0.96
110,12,2.18
110,13,2.18
110,14,0.55
110,15,1.55
110,16,1.55
110,17,2.61
110,18,2.61
110,19,1.59
110,20,1.59
110,21,2.01
110,22,2.01
110,23,1.75
110,24,1.75
110,25,1.1
110,26,1.1
110,27,1.28
110,28,1.28
110,29,1.67
110,30,0.73
110,31,0.5
110,32,0.62
110,33,0.62
110,34,2.78
110,35,2.78
110,36,1.64
110,37,1.64
110,38,1.22
110,39,1.22
110,40,2.46
110,41,2.46
110,42,1.4
110,43,1.4
110,44,1.7
110,45,1.7
110,46,1.87
110,47,0.84
110,48,0.84
110,49,2.06
110,50,2.06
110,51,1.03
110,52,1.03
110,53,1.02
110,54,1.02
110,55,1.63
110,56,1.63
110,57,1.88
110,58,1.88
110,59,0.87
110,60,0.87
110,61,2.29
110,62,2.29
110,63,2.46
110,64,2.09
110,65,2.09
110,66,3.07
110,67,3.07
110,68,2.5
110,69,2.5
110,70,2.76
110,71,2.76
110,72,1.77
110,73,1.77
110,74,0.93
110,75,0.93
100,1,2.69
100,2,2.69
100,3,2.68
100,4,2.68
100,5,2.01
100,6,2.01
100,7,1.82
100,8,1.82
100,9,2.92
100,10,2.12
100,11,2.12
100,12,1.89
100,13,1.89
100,14,2.42
100,15,2.42
100,16,1.94
100,17,1.94
100,18,1.98
100,19,1.98
100,20,3.14
100,21,3.14
100,22,1.61
100,23,1.61
100,24,2.11
100,25,2.11
100,26,1.86
100,27,2.08
100,28,2.08
100,29,2.23
100,30,2.23
100,31,2.51
100,32,2.51
100,33,1.74
100,34,1.74
100,35,2.44
100,36,2.44
100,37,0.94
100,38,0.94
100,39,2.08
100,40,2.08
100,41,1.11
100,42,1.11
100,43,1.51
100,44,1.45
100,45,1.45
100,46,0.76
100,47,0.76
100,48,0.94
100,49,0.94
100,50,1.54
100,51,1.54
100,52,1.17
100,53,1.17
100,54,0.73
100,55,0.73
100,56,1.62
100,57,1.62
100,58,2.94
100,59,2.94
100,60,1.4
100,61,0.97
100,62,0.97
100,63,1.35
100,64,1.35
100,65,1.27
100,66,1.27
100,67,1.68
100,68,1.68
100,69,1.45
100,70,1.45
100,71,2.17
100,72,2.17
100,73,2.66
100,74,2.66
100,75,1.76
90,1,1.47
90,2,1.22
90,3,1.22
90,4,1.86
90,5,1.86
90,6,1.52
90,7,3.73
