trial,pwm,motor,surface,sample,mm_per_ms
1,0,right,on,0,0
1,0,right,on,1,0
1,0,right,on,2,0
1,0,right,on,3,0
1,0,right,on,4,0
1,0,right,on,5,0
1,0,right,on,6,0
1,0,right,on,7,0
1,0,right,on,8,0
1,0,right,on,9,0
1,0,right,on,10,0
1,0,right,on,11,0
1,0,right,on,12,0
1,0,right,on,13,0
1,0,right,on,14,0
1,0,right,on,15,0
1,0,right,on,16,0
1,0,right,on,17,0
1,0,right,on,18,0
1,0,right,on,19,0
1,0,right,on,20,0
1,0,right,on,21,0
1,0,right,on,22,0
1,0,right,on,23,0
1,0,right,on,24,0
1,0,right,on,25,0
1,0,right,on,26,0
1,0,right,on,27,0
1,0,right,on,28,0
1,0,right,on,29,0
1,0,right,on,30,0
1,0,right,on,31,0
1,0,right,on,32,0
1,0,right,on,33,0
1,0,right,on,34,0
1,0,right,on,35,0
1,0,right,on,36,0
1,0,right,on,37,0
1,0,right,on,38,0
1,0,right,on,39,0
1,0,right,on,40,0
1,0,right,on,41,0
1,0,right,on,42,0
1,0,right,on,43,0
1,0,right,on,44,0
1,10,right,on,0,0
1,10,right,on,1,0
1,10,right,on,2,0
1,10,right,on,3,0
1,10,right,on,4,0
1,10,right,on,5,0
1,10,right,on,6,0
1,10,right,on,7,0
1,10,right,on,8,0
1,10,right,on,9,0
1,10,right,on,10,0
1,10,right,on,11,0
1,10,right,on,12,0
1,10,right,on,13,0
1,10,right,on,14,0
1,10,right,on,15,0
1,10,right,on,16,0
1,10,right,on,17,0
1,10,right,on,18,0
1,10,right,on,19,0
1,10,right,on,20,0
1,10,right,on,21,0
1,10,right,on,22,0
1,10,right,on,23,0
1,10,right,on,24,0
1,10,right,on,25,0
1,10,right,on,26,0
1,10,right,on,27,0
1,10,right,on,28,0
1,10,right,on,29,0
1,10,right,on,30,0
1,10,right,on,31,0
1,10,right,on,32,0
1,10,right,on,33,0
1,10,right,on,34,0
1,10,right,on,35,0
1,10,right,on,36,0
1,10,right,on,37,0
1,10,right,on,38,0
1,10,right,on,39,0
1,10,right,on,40,0
1,10,right,on,41,0
1,10,right,on,42,0
1,10,right,on,43,0
1,10,right,on,44,0
1,20,right,on,0,0.0526
1,20,right,on,1,0.0789
1,20,right,on,2,0.0789
1,20,right,on,3,0.0789
1,20,right,on,4,0.0789
1,20,right,on,5,0.0789
1,20,right,on,6,0.0789
1,20,right,on,7,0.0789
1,20,right,on,8,0.0789
1,20,right,on,9,0.0789
1,20,right,on,10,0.0789
1,20,right,on,11,0.0789
1,20,right,on,12,0.0789
1,20,right,on,13,0.1052
1,20,right,on,14,0.0789
1,20,right,on,15,0.0789
1,20,right,on,16,0.0789
1,20,right,on,17,0.0789
1,20,right,on,18,0.0789
1,20,right,on,19,0.0789
1,20,right,on,20,0.0789
1,20,right,on,21,0.0789
1,20,right,on,22,0.0789
1,20,right,on,23,0.0789
1,20,right,on,24,0.0789
1,20,right,on,25,0.0789
1,20,right,on,26,0.0723
1,20,right,on,27,0.0789
1,20,right,on,28,0.0789
1,20,right,on,29,0.0789
1,20,right,on,30,0.0789
1,20,right,on,31,0.0789
1,20,right,on,32,0.0789
1,20,right,on,33,0.0789
1,20,right,on,34,0.0526
1,20,right,on,35,0.0789
1,20,right,on,36,0.0789
1,20,right,on,37,0.1052
1,20,right,on,38,0.0526
1,20,right,on,39,0.1052
1,20,right,on,40,0.0789
1,20,right,on,41,0.0789
1,20,right,on,42,0.0526
1,20,right,on,43,0.0789
1,20,right,on,44,0.0789
1,30,right,on,0,0.1315
1,30,right,on,1,0.1315
1,30,right,on,2,0.1578
1,30,right,on,3,0.1315
1,30,right,on,4,0.1578
1,30,right,on,5,0.1578
1,30,right,on,6,0.1315
1,30,right,on,7,0.1315
1,30,right,on,8,0.1578
1,30,right,on,9,0.1578
1,30,right,on,10,0.1315
1,30,right,on,11,0.1578
1,30,right,on,12,0.1315
1,30,right,on,13,0.1578
1,30,right,on,14,0.1205
1,30,right,on,15,0.1578
1,30,right,on,16,0.1578
1,30,right,on,17,0.1578
1,30,right,on,18,0.1315
1,30,right,on,19,0.1315
1,30,right,on,20,0.1578
1,30,right,on,21,0.1315
1,30,right,on,22,0.1315
1,30,right,on,23,0.1578
1,30,right,on,24,0.1315
1,30,right,on,25,0.1578
1,30,right,on,26,0.1315
1,30,right,on,27,0.1315
1,30,right,on,28,0.1578
1,30,right,on,29,0.1315
1,30,right,on,30,0.1315
1,30,right,on,31,0.1578
1,30,right,on,32,0.1315
1,30,right,on,33,0.1578
1,30,right,on,34,0.1315
1,30,right,on,35,0.1315
1,30,right,on,36,0.1578
1,30,right,on,37,0.1315
1,30,right,on,38,0.1578
1,30,right,on,39,0.1315
1,30,right,on,40,0.1578
1,30,right,on,41,0.1315
1,30,right,on,42,0.1315
1,30,right,on,43,0.1315
1,30,right,on,44,0.1578
1,40,right,on,0,0.1841
1,40,right,on,1,0.1841
1,40,right,on,2,0.2104
1,40,right,on,3,0.1841
1,40,right,on,4,0.2104
1,40,right,on,5,0.1841
1,40,right,on,6,0.1841
1,40,right,on,7,0.2104
1,40,right,on,8,0.2104
1,40,right,on,9,0.1841
1,40,right,on,10,0.1841
1,40,right,on,11,0.2104
1,40,right,on,12,0.2104
1,40,right,on,13,0.1841
1,40,right,on,14,0.1841
1,40,right,on,15,0.2104
1,40,right,on,16,0.1841
1,40,right,on,17,0.2104
1,40,right,on,18,0.1841
1,40,right,on,19,0.2104
1,40,right,on,20,0.1841
1,40,right,on,21,0.1841
1,40,right,on,22,0.1841
1,40,right,on,23,0.2104
1,40,right,on,24,0.1841
1,40,right,on,25,0.2104
1,40,right,on,26,0.1578
1,40,right,on,27,0.2104
1,40,right,on,28,0.2104
1,40,right,on,29,0.1841
1,40,right,on,30,0.1841
1,40,right,on,31,0.2104
1,40,right,on,32,0.1841
1,40,right,on,33,0.2104
1,40,right,on,34,0.1841
1,40,right,on,35,0.1841
1,40,right,on,36,0.2104
1,40,right,on,37,0.1928
1,40,right,on,38,0.1841
1,40,right,on,39,0.2104
1,40,right,on,40,0.1841
1,40,right,on,41,0.1841
1,40,right,on,42,0.1841
1,40,right,on,43,0.2104
1,40,right,on,44,0.1841
1,50,right,on,0,0.263
1,50,right,on,1,0.263
1,50,right,on,2,0.2367
1,50,right,on,3,0.263
1,50,right,on,4,0.263
1,50,right,on,5,0.263
1,50,right,on,6,0.2367
1,50,right,on,7,0.263
1,50,right,on,8,0.2893
1,50,right,on,9,0.2893
1,50,right,on,10,0.2367
1,50,right,on,11,0.263
1,50,right,on,12,0.2893
1,50,right,on,13,0.2893
1,50,right,on,14,0.2367
1,50,right,on,15,0.2893
1,50,right,on,16,0.2893
1,50,right,on,17,0.263
1,50,right,on,18,0.263
1,50,right,on,19,0.263
1,50,right,on,20,0.2893
1,50,right,on,21,0.2893
1,50,right,on,22,0.263
1,50,right,on,23,0.2893
1,50,right,on,24,0.2893
1,50,right,on,25,0.2652
1,50,right,on,26,0.2893
1,50,right,on,27,0.3156
1,50,right,on,28,0.263
1,50,right,on,29,0.263
1,50,right,on,30,0.2893
1,50,right,on,31,0.2893
1,50,right,on,32,0.2893
1,50,right,on,33,0.263
1,50,right,on,34,0.3156
1,50,right,on,35,0.2893
1,50,right,on,36,0.2893
1,50,right,on,37,0.263
1,50,right,on,38,0.2893
1,50,right,on,39,0.2893
1,50,right,on,40,0.2893
1,50,right,on,41,0.263
1,50,right,on,42,0.2893
1,50,right,on,43,0.2893
1,50,right,on,44,0.2893
1,60,right,on,0,0.3156
1,60,right,on,1,0.3419
1,60,right,on,2,0.2893
1,60,right,on,3,0.3156
1,60,right,on,4,0.3156
1,60,right,on,5,0.3419
1,60,right,on,6,0.2893
1,60,right,on,7,0.3156
1,60,right,on,8,0.3419
1,60,right,on,9,0.3156
1,60,right,on,10,0.2893
1,60,right,on,11,0.3419
1,60,right,on,12,0.3156
1,60,right,on,13,0.3419
1,60,right,on,14,0.2893
1,60,right,on,15,0.3156
1,60,right,on,16,0.3156
1,60,right,on,17,0.2893
1,60,right,on,18,0.3156
1,60,right,on,19,0.3419
1,60,right,on,20,0.3156
1,60,right,on,21,0.3156
1,60,right,on,22,0.3156
1,60,right,on,23,0.3419
1,60,right,on,24,0.3156
1,60,right,on,25,0.3156
1,60,right,on,26,0.3156
1,60,right,on,27,0.3419
1,60,right,on,28,0.3156
1,60,right,on,29,0.2893
1,60,right,on,30,0.3419
